Biology Factoid Questions|||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer
John ray bitkilerin tarihi adlı eserini kaç yılında yazmıştır?|yılında yazmıştır||TEMPORAL|DATE|1686
Kabul gören ilk sınıflandırma kime aittir?|sınıflandırma aittir||HUMAN|INDIVIDUAL|Aristo
Kaç amino asit insan vücudunda sentezlenemez?|amino asit sentezlenemez||NUMERIC|COUNT|8
Kafatası kemiklerinin altında bulunan üç katlı zarla çevrili olan yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|meninges
Kafatası kemiklerinin hemen altında bulunan sert zarın altındaki yapı nedir?|yapı||ENTITY|ANIMAL.STRUCTURE|örümceksi zar  
Kafatası kemiklerinin hemen altında bulunan yapı nedir?|yapı||ENTITY|ANIMAL.STRUCTURE|sert zar   
Kafatası ve yüzdeki eklemler, hangi eklem türüne örnektir?|eklem türüne||ENTITY|ANIMAL.STRUCTURE|oynamaz eklem  
Kafatası, kürek, kaburga kemikleri hangi kemik türüne örnektir?|kemik türüne||ENTITY|ANIMAL.STRUCTURE|yassı kemikler  
Kalbi besleyen damarlara ne ad verilir?|damarlara||ENTITY|SECTION.ANIMAL|koroner damarlar  
Kalbin dışını tamamen saran bağ dokudan yapılmış iki katlı zar olan en dışta bulunan tabakasına ne denir?|tabakasına||ENTITY|TISSUE|perikart
Kalbin gevşemesi durumuna ne ad verilir?|durumuna||ENTITY|PROCESS.ANIMAL|diastol 
Kalbin kasılıp gevşemesi sırasında kanın atardamar duvarına yaptığı basınca ne ad verilir?|basınca||DESCRIPTION|DEFINITION|tansiyon
Kalbin kasılması durumuna ne ad verilir?|durumuna||ENTITY|PROCESS.ANIMAL|sistol
Kalbin ritmik kasılma ve gevşemesinin atardamarlarda hissedilmesine ne denir?|hissedilmesine||DESCRIPTION|DEFINITION|nabız 
Kalıtımın esaslarını ilk ortaya koyan bilim insanı kimdir?|bilim insanı||HUMAN|INDIVIDUAL|Gregor Mendel  
Kalp kasından oluşmuş, ortada bulunan kalp tabakasına ne denir?|kalp tabakasına||ENTITY|TISSUE|miyokart
Kalpteki oksijence fakir kanın akciğer atardamarı ile sağ karıncıktan çıkıp akciğerlere giderek oksijence zenginleştikten sonra akciğer toplardamarıyla sol kulakçığa dönmesine ne ad verilir?|dönmesine||ENTITY|PROCESS.ANIMAL|küçük kan dolaşımı  
Kalpten pompalanan kanın geri dönmesini engelleyen ve kanın tek yönde akmasını sağlayan yapıya ne ad verilir?|yapıya||ENTITY|SECTION.ANIMAL|kapakçık
Kan basıncının düşük olduğu,  kanı kalbe getiren damarlara ne ad verilir?|damarlara||DESCRIPTION|DEFINITION|toplardamar
Kan dokunun sıvı olan, akıcı özelliğe sahip ara maddesine ne denir?|maddesine|ara|ENTITY|SUBSTANCE|plazma  
Kan pıhtılarının oluşumunda görev alan hücre parçalarına ne ad verilir?|hücre parçalarına||ENTIRY|CELL.TYPE|trombosit 
Kan üretimi gerçekleştiren yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|kırmızı kemik iliği  
Kan ve lenf sıvısındaki bakteri, virüs ve toksinlere karşı koruma sağlayan humoral bağışıklık oluşumunda üretilen antikora nedir?|antikora||ENTIRY|CELL.TYPE|IgG antikoru  
Kanda oksijen taşınmasını sağlayan element nedir?|element||ENTITY|ELEMENT|Demir
Kanı kalpten kılcal damarlara ileten damarlara ne denir?|damarlara||DESCRIPTION|DEFINITION|atardamar
Kanın damar içinde pıhtılaşmasını engelleyen bazofil tarafından salgılanan hormon nedir?|hormon||ENTITY|SYNTHESIZED.HORMONE|heparin 
Kanın pıhtılaşması için gerekli olan protein eksikliğinde ortaya çıkan hemofili (kanın pıhtılaşmaması) hastalığı hangi eşey kromozom ile kalıtılır?|kromozom|eşey|ENTIRY|CELL.TYPE|X kromozomu  
Kapalı tohumlu bitkilerin diğer adı nedir?|bitkilerin|kapalı tohumlu|ENTITY|PLANT|Çiçekli bitkiler
Karaçamın Latince adı nedir?|adı||ABBREVIATION|EXPRESSION|Pinus Nigra
Karada yaşayan eklem bacaklılar, böcekler ve çok ayaklılar gibi organizmalar hangi solunumu gerçekleştirmektedir?|solunumu||ENTITY|PROCESS.ANIMAL|trake solunumu  
Karakter bakımından heterozigot olan bireylere ne ad verilir?|bireylere||DESCRIPTION|DEFINITION|monohibrit  
Karbonhidrat ve yağ metabolizmasını, vücut sıcaklığını, kan basıncını, su dengesini, uyku ve iştahı düzenleyen ara beyinde bulunan yapıya ne denir?|yapıya||ENTITY|ANIMAL.STRUCTURE|hipotalamus
Karbonhidrat, yağ ve proteinlerin sindirim sonucu oluşan yapı taşlarının emilimi hangi organda gerçekleşir?|organda||ENTITY|ORGAN|ince bağırsak  
Karbonhidrat, yağ, protein, gibi büyük moleküllü besin maddelerinin kendilerini oluşturan yapı taşlarına parçalanarak hücre zarından geçebilecek hale gelmesine ne ad verilir?|hale gelmesine||ENTITY|PROCESS.ANIMAL|sindirim
Karbonhidratların sindirimi, sindirim kanalının hangi bölümünde başlar?|bölümünde||ENTITY|SECTION.ANIMAL|ağızda
Karbonhidratların sindirimi, sindirim kanalının hangi bölümünde biter?|bölümünde||ENTITY|ORGAN|ince bağırsak  
Kardeş kromatitlerin birbirinden ayrılarak zıt kutuplara çekilmesi hücre bölünmesinin hangi evresinde gerçekleşir?|evresinde||ENTITY|PHASE|Anafaz
Karın ve sırt kasları, hangi kas türüne örnektir?|kas türüne||ENTITY|MUSCLE.TYPE|sinerjist kas  
Karıncıkların gevşemesi anında kanın atar damar duvarına yaptığı basınca ne ad verilir?|basınca||DESCRIPTION|DEFINITION|küçük tansiyon  
Karıncıkların kasılması sırasında kanın atardamar duvarına yaptığı basınca ne ad verilir?|basınca||DESCRIPTION|DEFINITION|büyük tansiyon  
Kas hücre zarına ne ad verilir?|kas hücre zarına||DESCRIPTION|DESCRIPTION|sarkolemma
Kas hücresi sitoplazmasına ne ad verilir?|kas hücresi sitoplazmasına||DESCRIPTION|DESCRIPTION|sarkoplazma
Kas yapısında sadece aktin iplikçiklerinin bulunduğu, açık renkli görünen banda ne ad verilir?|banda||DESCRIPTION|DEFINITION|I bandı 
Kasılma sırasında A bandının boyunda nasıl bir değişiklik olur?|değişiklik olur||DESCRIPTION|DESCRIPTION|değişmez
Kasılma sırasında I bandının boyunda nasıl bir değişiklik olur?|değişiklik olur||DESCRIPTION|DESCRIPTION|daralır
Kasılmanın başladığı an ile gevşemenin başladığı an arasında geçen süre hangi evredir?|evredir||ENTITY|PHASE|kasılma evresi  
Kasın ekleme bağlandığı yere ne ad verilir?|yere||ENTITY|SECTION.ANIMAL|sonlanış noktası  
Kasın gevşeyerek eski haline dönmesine kadar geçen süre hangi evredir?|evredir||ENTITY|PHASE|gevşeme evresi  
Kasın kemiğe bağlandığı yere ne ad verilir?|yere||ENTITY|SECTION.ANIMAL|başlangıç noktası  
Kasın uyarıldığı an ile kasılmaya başladığı an arasında geçen süre hangi evredir?|evredir||ENTITY|PHASE|gizli evre 
Kasın uyarılmasıyla kasılması arasında geçen süreye ne ad verilir?|süreye||ENTITY|PHASE|Gizli evre
Kaslara uyartı taşıyan sinirlerin çeşitli nedenlerle zedelenmesine bağlı olarak ortaya çıkan hastalık nedir?|hastalık||ENTITY|DISEASE|felç 
Kasların gittikçe zayıflaması ve uyumlu çalışmamasıyla kendini gösteren kas distrofisi hastalığı hangi eşey kromozom ile kalıtılır?|kromozom|eşey|ENTIRY|CELL.TYPE|X kromozomu  
Kasların kasılmasını kontrol eden organ hangisidir?|organ||ENTITY|ORGAN|beyin 
Kasların kasılmasını sağlayan en küçük uyartı şiddetine ne ad verilir?|uyartı şiddetine|en küçük|DESCRIPTION|DEFINITION|eşik şiddeti  
Kasların, eşik şiddetinin üzerindeki uyartılara hep aynı şiddette tepki göstermesi prensibine ne ad verilir?|prensibine||DESCRIPTION|THEOREM|Ya hep ya hiç 
Kasta bulunan ATP ve kreatin fosfatın bitmesi durumunda gerekli enerji nereden sağlanır?|enerji sağlanır||ENTITY|SUBSTANCE|glikojen
Kasta bulunan ATP’nin bitmesi durumunda gerekli enerji nereden sağlanır?|enerji sağlanır||ENTITY|SUBSTANCE|kreatin fosfat  
Katı haldeki besin maddeleri hücre içine hangi yolla alınır?|yolla||ENTITY|PROCESS.ANIMAL|Fagositoz
Katı haldeki besin maddelerinin hücre içine alınması hangi yolla olur?|yolla||ENTITY|PROCESS.ANIMAL|Fagositoz
Kayısı, üzüm, erik, şeftali, kiraz, soya fasulyesi gibi meyveler hangi meyve türüne örnektir?|meyve türüne||ENTITY|SECTION.PLANT|basit meyve  
Kemiğin boyca uzamasını sağlayan yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|epifiz plağı  
Kemiğin enine büyümesini sağlayan yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|periost
Kemiğin onarımını sağlayan kemik zarına ne ad verilir?|kemik zarına||ENTITY|TISSUE|periost
Kemik dokuda bulunan, organik ve inorganik maddelerden oluşan ara maddeye ne denir?|maddeye|ara|ENTITY|SUBSTANCE|osein
Kemik dokunun ara maddesine ne ad verilir?|maddesine|ara|ENTITY|SUBSTANCE|Osein
Kemik dokuyu oluşturan hücrelere ne ad verilir?|hücrelere||ENTIRY|CELL.TYPE|osteosit
Kemiklerde zayıflama ve kırılma hangi vitamin eksikliğinde görülür?|vitamin||ENTITY|SUBSTANCE|C vitamini  
Kemiklerin büyümesi hangi vitamin eksikliğinde yavaşlar?|vitamin eksikliğinde||ENTITY|SUBSTANCE|A vitamini  
Kemiklerin dışında bulunan kemik zarına ne ad verilir?|kemik zarına||ENTITY|TISSUE|periost
Kemiklerin eklem yapan yüzeylerinin kıkırdakla örtülü olduğu yere ne ad verilir?|yere||ENTITY|ANIMAL.STRUCTURE|eklem kıkırdağı  
Kemiklerin hareket etmeyecek biçimde birbirlerine bağlı olduğu ekleme ne ad verilir?|ekleme||DESCRIPTION|DEFINITION|oynamaz eklem  
Kendi besinini inorganik maddelerden sentezleyebilen organizmalara ne denir?|organizmalara||DESCRIPTION|DEFINITION|Ototrof
Kendi türü dışında bir türden gen aktarılarak belirli özellikleri değiştirilmiş bitki, hayvan ya da mikroorganizmalara ne ad verilir?|mikroorganizmalara||DESCRIPTION|DEFINITION|Genetiği Değiştirilmiş Organizmalar  
Kendini eşleme özelliğine sahip, genetik bilgiyi aktaran nükleik asitlerden biri olan molekül nedir?|molekül||ENTITY|PROPER NOUN|DNA
Kıkırdak doku hücrelerine ne ad verilir?|doku hücrelerine||ENTIRY|CELL.TYPE|kondrosit
Kıkırdak doku ile birlikte kayganlık sağlayarak hareket sırasında kemiklerin birbirine bağlandığı eklem yüzeyinde aşınmayı önleyen yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|eklem sıvısı(sinovial sıvı)  
Kıkırdak dokunun ara maddesine ne ad verilir?|ara maddesine||ENTITY|SUBSTANCE|kondrin
Kıkırdaklı balıklar gaz alışverişini neyle gerçekleştirir?|gerçekleştirir||ENTITY|ANIMAL.STRUCTURE|Solungaç
Kılcal damar geçirgenliğini sağlayan bazofil tarafından salgılanan hormon nedir?|hormon||ENTITY|SYNTHESIZED.HORMONE|histamin
Kırmızı turnusolu maviye çeviren maddelere ne denir?|maddelere||DESCRIPTION|DEFINITION|Baz
Kırmızı-yeşil renk körlüğü hastalığı hangi eşey kromozom ile kalıtılır?|kromozom|eşey|ENTIRY|CELL.TYPE|X kromozomu  
Kitinden oluşan, stigma denilen açıklıktan giren havayı taşıyan ve iç organlara kadar uzanan dallanmış hava borularına ne ad verilir?|hava borularına||ENTITY|SECTION.ANIMAL|trake
Kloroplastlarda bulunan ve güneş ışığını soğurmaya yarayan yapının adı nedir?|yapının adı||ENTITY|ORGANELLE|Klorofil
Kökenlerine göre türlerine ayrılan, bölünme yeteneğini kaybetmiş parankima hücrelerinin sonradan bölünme yeteneği kazanması ile meydana gelen meristem dokuya ne ad verilmektedir?|dokuya|meristem|ENTITY|SECTION.PLANT|sekonder (ikincil) meristem
Kökenlerine göre türlerine ayrılan, embriyonik dönemden beri bölünme yeteneklerini kaybetmemiş olan hücrelerden oluşan meristem dokuya ne ad verilmektedir?|dokuya|meristem|ENTITY|SECTION.PLANT|primer (birincil) meristem  
Kökten emici tüylerle alınan su ve suda çözünmüş minerallerin bitkinin gövde ve yapraklarına taşınmasını sağlayan ve bitkinin iletim dokusunda bulunan bölüme ne ad verilmektedir?|bölüme||ENTITY|SECTION.PLANT|ksilem
Kökten yapraklara kadar uzanan ksilem ve floem borularından meydana gelen, bitkilerde su ve minerallerin taşınmasını sağlayan doku nedir?|doku||DESCRIPTION|DEFINITION|iletim doku  
Kol dirsekten büküldüğü zaman gevşeyen kas hangisidir?|kas||ENTITY|MUSCLE.TYPE|açıcı kas  
Kol dirsekten büküldüğü zaman kasılan kas hangisidir?|kas||ENTITY|MUSCLE.TYPE|bükücü kas  
Kol ve bacaklarda bulunan iki ucu şişkin silindir şeklindeki kemiklere ne ad verilir?|kemiklere||ENTITY|ANIMAL.STRUCTURE|uzun kemikler  
Kol ve bacaklardaki kaslar, hangi kas türüne örnektir?|kas türüne||ENTITY|MUSCLE.TYPE|antagonist
Kola üretiminde gerekli olan sitrik asidin üretilmesi için hangi mantar kullanılmaktadır?|mantar||ENTITY|FUNGI|Aspergillus
Komünite yapısını ve organizasyonunu etkileyen avlanma ve rekabet gibi türler arasındaki etkileşimlerin nasıl olduğunu inceleyen bilim dalı hangisidir?|bilim dalı||DESCRIPTION|DEFINITION|Komünite ekolojisi
Komünitelerdeki bir canlının yaşamını sürdürebilmesi için gerçekleştirdiği işlevlere ne denir?|işlevlere||DESCRIPTION|DEFINITION|ekolojik niş  
Konakçı ve simbiyont canlı arasında karşılıklı yarar sağlamaya dayalı ilişkiye ne denir?|ilişkiye||DESCRIPTION|DEFINITION|Mutualizm
Konuşulan ve yazılan kelimelerin anlaşılmasını sağlayan beyin lobu hangisidir?|beyin lobu||ENTITY|SECTION.ANIMAL|parietal lop  
Köpek dişleri bulunmayan, çene ve diş yapısı ot koparmaya uygun olan, azı dişleri gelişmiş olan memeliler hangi takıma aittir?|takıma||ENTITY|ANIMAL|Herbivor(otçul)  
Kör bağırsağın ucundaki apandis denilen parmak şeklindeki çıkıntının iltihaplanmasına ne denir?|iltihaplanmasına||ENTITY|ORGAN|apandisit
Koroner damarların tıkanması ya da daralması sebebiyle kalbin ihtiyacı olan besin ve oksijeni alamaması sonucu ne meydana gelmektedir?|meydana gelmektedir||ENTITY|DISEASE|kalp krizi(enfarktüs)  
Korpus luteumdan progesteron salgılatan hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|LH
Korpus luteumun varlığını sürdürmesini sağlayan hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|LTH
Koyu kırmızı renkte olan böbreğin en dış kısmında yer alan yapıya ne ad verilir?|yapıya||ENTITY|ANIMAL.STRUCTURE|korteks
Kromoplasta kırmızı rengi veren madde nedir?|madde||ENTITY|ORGANELLE|Likopen
Kromoplasta sarı rengi veren madde nedir?|madde||ENTITY|ORGANELLE|Ksantofil
Kromoplasta turuncu rengi veren madde nedir?|madde||ENTITY|ORGANELLE|Karoten
Kromozom teorisi hangi yıl ortaya atılmıştır?|yıl||TEMPORAL|DATE|1903
Kromozom teorisini ortaya atan kimdir?|ortaya atan||HUMAN|INDIVIDUAL|Sutten
Kromozomlar üzerindeki genlerde meydana gelen değişmelere ne ad verilir?|değişmelere||DESCRIPTION|DEFINITION|mutasyon 
Kromozomların en belirgin göründüğü mitoz bölünme evresi hangisidir?|bölünme evresi|mitoz|ENTITY|PHASE|Metafaz
Kromozomların hücrenin ekvator düzleminde toplandığı mayoz aşaması hangisidir?|aşaması|mayoz|ENTITY|PHASE|Metafaz I
Kromozomların kalıtsal bir karakterin oğul döllere aktarılmasını sağlayan bölümüne ne denir?|bölümüne||ENTIRY|CELL.TYPE|gen 
Kronik böbrek yetmezliği hastalarında hangi hormonun üretiminin azalması sonucu anemi görülür?|hormonun||ENTITY|SYNTHESIZED.HORMONE|eritropoietin
Ksilemin diğer adı nedir?|adı|diğer|ENTITY|PLANT.STRUCTURE|Odun borusu
Küçük moleküllü maddelerden büyük moleküllü maddeler meydana gelmesine ne ad verilir?|meydana gelmesine||ENTITY|PROCESS.ANIMAL|Dehidrasyon
Kuduz aşısı kaç yılında bulunmuştur?|yılında bulunmuştur||TEMPORAL|DATE|1885
Kuduz aşısını hangi bilim adamı bulmuştur?|bilim adamı||HUMAN|INDIVIDUAL|Pasteur
Kuduz aşısını kim bulmuştur?|bulmuştur||HUMAN|INDIVIDUAL|Louis Pasteur
Kulak kepçesi, kulak yolu, östaki borusu ve epiglotis yapısındaki kıkırdak, hangi kıkırdak türüne örnektir?|kıkırdak türüne||ENTITY|ANIMAL.STRUCTURE|elastik kıkırdak  
Kulak kıllılığı hangi eşey kromozom ile kalıtılır?|kromozom|eşey|ENTIRY|CELL.TYPE|Y kromozomu   
Kurbağa, memeli gibi organizmalarda azotlu boşaltım ürünü nedir?|boşaltım ürünü|azotlu|ENTITY|SUBSTANCE|üre
Kuş ve sürüngenlerde metabolik artıkların biriktirildiği keselere ne denir?|keselere||ENTITY|ANIMAL.STRUCTURE|Allantoyis
Kuşlar nasıl ürer?|ürer||ENTITY|PROCESS.ANIMAL|Eşeyli
Kuşlar ne solunumu yapar?|solunumu yapar||ENTITY|ORGAN|Akciğer
Kuşların akciğerlerine bağlı, oksijen gereksinimini sağlayan yapıya ne ad verilir?|yapıya||ENTITY|SECTION.ANIMAL|hava keseleri  
Kuşların kanatlarındaki tüylere ne denir?|tüylere||ENTITY|ANIMAL.STRUCTURE|Telek tüyü
Kuşların vücudundaki tüylere ne denir?|tüylere||ENTITY|ANIMAL.STRUCTURE|Hav tüyü
Küstüm otuna dokununca yapraklarını kapatması hangi nasti hareketine örnektir?|nasti hareketine||ENTITY|PROCESS.PLANT|sismonasti 
Kuyruk yağı ne tür bir yağdır?|tür||ENTITY|SUBSTANCE|Doymuş yağ
Laboratuvar çalışmalarında, herhangi bir canlının doğrudan sıvı ortamda mikroskopta incelenmesi tekniği hangisidir?|tekniği||DESCRIPTION|DEFINITION|Vital inceleme
Lalelerin yapraklarının 100C’taki ortamda kapatması, 300C sıcaklığındaki ortamda açması hangi nasti hareketine örnektir?|nasti hareketine||ENTITY|PROCESS.PLANT|termonasti 
Lenf damarlarının birleştiği yerde özel hücre kümelerinden meydana gelen yapıya ne nedir?|yapıya||ENTITY|ANIMAL.STRUCTURE|lenf düğümleri  
Lenfositlerin vücuda yabancı olan maddelere karşı oluşturduğu kan plazmasındaki savunma proteinlere ne ad verilir?|savunma proteinlere||ENTIRY|CELL.TYPE|antikor
Levha şeklinde olan kemiklere ne ad verilir?|kemiklere||ENTITY|ANIMAL.STRUCTURE|yassı kemikler  
Likenler hangi iki canlının ortak yaşamasıyla oluşur?|iki canlının||ENTIRY|BACTERIA.TYPE|Bakteri-alg
Lokmanın yemek borusundan mideye doğru ilerlemesini sağlayan dalga hareketlerine ne denir?|dalga hareketlerine||ENTITY|PROCESS.ANIMAL|peristaltik hareket  
Maden bakımından en zengin bölgemiz neresidir?|bölgemiz|en zengin|LOCATION|LOCATION|Doğu anadolu
Mantar kambiyumu, hangi gövde yapısına sahip bitkilerde epidermisin yerine bulunmaktadır?|gövde yapısına||DESCRIPTION|DEFINITION|odunsu gövdeli bitkiler  
Mantar ve su yosunlarının oluşturduğu birlik olan liken hangi tür yaşam şekline örnektir?|tür yaşam şekline||DESCRIPTION|DEFINITION|mutualizm
Mantarlar ilk olarak kaç yıl önce ortaya çıkmışlardır?|yıl önce||NUMERIC|AVERAGE|400 milyon yıl
Mantarların bitkilerden farklı olarak sınıflandırılması gerektiğini ilk ortaya atan kimdir?|ortaya atan||HUMAN|INDIVIDUAL|Robert whittaker
Mantarların üremesi neyin sayesinde gerçekleşir|üremesi gerçekleşir||ENTITY|FUNGI|Spor
Mantarların yapılarında bulunan ince iplikçiklere ne denir?|iplikçiklere|ince|ENTITY|FUNGI|Hif
Marie Curie'nin kaç nobel ödülü vardır?|nobel ödülü||NUMERIC|COUNT|2
Mars'taki ortalama sıcaklık kaç derecedir?|derecedir||NUMERIC|DEGREE|-55
Mavi turnusolu kırmızıya çeviren maddelere ne denir?|maddelere||DESCRIPTION|DEFINITION|Asit
Mayoz bölünme sırasında 36 tetratın meydana geldiği eşey ana hücresi kaç kromozomludur?|kromozomludur||NUMERIC|COUNT|72
Mayoz bölünmede kromatitler arasındaki karşılıklı gen alışverişine ne denir?|gen alışverişine||DESCRIPTION|DEFINITION|Krossing-over
Mayoz sonunda oluşmuş gametlerin birleşmesiyle gerçekleşen üreme şekline ne denir?|üreme şekline||ENTITY|PROCESS.ANIMAL|Eşeyli üreme
Mayozda homolog kromozomlar bazen birbirinden ayrılmayarak aynı kutba gitmesi, sonuç olarak yeni oluşan eşey hücrelerinin birinde fazla, diğerinde eksik kromozom bulunması olayına ne denir?|olayına||ENTITY|PROCESS.ANIMAL|ayrılmama
Mayozun hangi aşamasında hücre iki çekirdekli hale gelir?|aşamasında||ENTITY|PHASE|Telofaz I
Mayozun hangi evresinde hücreler bölünme için gerekli proteinleri sentezler?|evresinde||ENTITY|PHASE|İnterfaz
Mayozun hangi evresinde kutuplara çekilmiş olan kromozomların etrafında çekirdek zarı oluşur?|evresinde||ENTITY|PHASE|Telofaz I
Mayozun hangi evresinde tetrarı oluşturan kromozomlar zıt kutuplara çekilir?|evresinde||ENTITY|PHASE|Anafaz I
Mekanik ve kimyasal sindirimin olmadığı sindirim kanalında bulunan yapı nedir?|yapı||ENTITY|SECTION.ANIMAL|yemek borusu  
Memelilerde akciğer ve karın boşluğunu ayıran zara ne denir?|zara||ENTITY|ANIMAL.STRUCTURE|Diyafram
Memelilerin akciğerlerinin içinde bulunan, kılcal damarlardaki karbon dioksidi alıp, oksijeni vererek gaz alış verişini gerçekleştiren yapıya ne denir?|yapıya||ENTITY|ANIMAL.STRUCTURE|alveol
Memelilerin tek solunum şekli nedir?|solunum şekli|tek|ENTITY|ORGAN|Akciğer
Menstrual döngüde ilke evre hangisidir?|evre|ilk|ENTITY|PHASE|Folikül
Merkezi sinir sisteminden aldığı uyartıyı kas ya da endokrin bez gibi efektör organlara taşıyan nörona ne ad verilir?|nörona||ENTIRY|CELL.TYPE|motor nöron  
Meyvenin olgunlaşmasını sağlayan hormon nedir?|hormon||ENTITY|SYNTHESIZED.HORMONE|etilen
Mide ile onikiparmak bağırsağı arasında, karın boşluğunda yer alan yaprak şeklinde yapıya ne ad verilir?|yapıya||ENTITY|ORGAN|pankreas
Mide ve kalın bağırsak arasında kalan silindirik yapıda olan organ nedir?|organ||ENTITY|ORGAN|ince bağırsak  
Midenin ince bağırsakla bağlandığı bölüme ne ad verilir?|bölüme||ENTITY|SECTION.ANIMAL|mide kapısı(pilor)  
Midenin salgı yapmasını önleyen ve mide hareketini yavaşlatan sindirim sisteminde görev alan hormon hangisidir?|hormon||ENTITY|SYNTHESIZED.HORMONE|enterogastrin
Midenin üzerinde karın boşluğunun sağ tarafında bulunan organ nedir?|organ||ENTITY|ORGAN|karaciğer
Midenin yemek borusuyla bağlandığı bölüme ne ad verilir?|bölüme||ENTITY|SECTION.ANIMAL|mide ağzı
Mikroskop kimin tarafından icat edilmiştir?|icat edilmiştir|tarafından|HUMAN|INDIVIDUAL|Zacharias Janssen
Mikroskop ne zaman icat edilmiştir?|zaman icat edilmiştir||TEMPORAL|DATE|1590
Mitoz geçirecek olan hücrenin büyüyüp bölünmeye hazırlandığı evreye ne denir?|evreye||ENTITY|PHASE|İnterfaz
Mitoz temeline dayanan, ana bireyin aynı kalıtsal özelliklerine sahip yavrular meydana getirildiği üreme şekline ne denir?|üreme şekline||ENTITY|PROCESS.ANIMAL|Eşeysiz üreme
Mitozun hangi evresinde çekirdek zarı erir?|evresinde||ENTITY|PHASE|Profaz
Mitozun hangi evresinde hücredeki çekirdekçikler kaybolur?|evresinde||ENTITY|PHASE|Profaz
Mitozun hangi evresinde iğ iplikleri meydana gelir?|evresinde||ENTITY|PHASE|Profaz
Mitozun hangi evresinde kardeş kromatitler birbirinden ayrılır?|evresinde||ENTITY|PHASE|Anafaz
Mitozun hangi evresinde kromatin iplikler kısalıp kalınlaşır?|evresinde||ENTITY|PHASE|Profaz
Mitozun hangi evresinde Kromatin iplikler kromozom çubukları halini alır?|evresinde||ENTITY|PHASE|Profaz
Mitozun hangi evresinde kromozomlar hücrenin ekvator bölgesinde dizilir?|evresinde||ENTITY|PHASE|Metafaz
Mitozun hangi evresinde sentrozomlar zıt kutuplara doğru çekilir?|evresinde||ENTITY|PHASE|Profaz
Miyelin tabakanın çeşitli nedenlerle tahrip olması sonucu oluşan hastalığa ne ad verilir?|hastalığa||ENTITY|DISEASE|multiple skleroz MS 
Miyelinli sinirlerin aksonlarından oluşan, boz maddenin altında bulunan maddeye ne ad verilir?|maddeye||ENTITY|SECTION.ANIMAL|ak madde  
Moleküllerin çok yoğun ortamdan az yoğun ortama doğru yayılmalarına ne denir?|yayılmalarına||ENTITY|PROCESS.ANIMAL|Difüzyon
Moleküllerin hücre zarından enerji harcamadan, yoğunluk farkından dolayı hücre zarındaki yağ tabakasından veya protein kanallarından doğrudan geçmesine ne denir?|geçmesine|doğrudan|ENTITY|PROCESS.ANIMAL|Pasif taşıma
Monohibrit bireylerin kendi aralarında çaprazlanması olayına ne denir?|çaprazlanması olayına||DESCRIPTION|DEFINITION|monohibrit çaprazlama  
Monosakkaritlerin diğer adı nedir?|adı|diğer|ENTITY|SUBSTANCE|Tek şekerliler
Morula döneminden sonra gelen safha hangisidir?|safha||ENTITY|PHASE|Blastula
Mutasyona neden olan faktörlerden dolayı homolog olmayan kromozomlar arasında parça değişimi olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|translokasyon
Mutasyona neden olan faktörlerden dolayı kromozoma parça eklenmesi olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|duplikasyon
Mutasyona neden olan faktörlerden dolayı kromozomda parça eksilmesi olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|delesyon
Mutasyona neden olan faktörlerden dolayı kromozomdan parça veya parçaların kopup 1800 dönerek aynı yere bağlanması olayına ne ad verilir?|olayına||ENTITY|PROCESS.ANIMAL|inversiyon  
Mutasyona sebep olan çeşitli faktörlere ne ad verilir?|faktörlere|çeşitli|DESCRIPTION|EFFECT|mutajen
Nohut büyüklüğünde, beyin tabanında, ince bir sapla hipotalamusa bağlı olan beze ne ad verilir?|beze||ENTITY|SECTION.ANIMAL|hipofiz bezi 
Nöronlardan daha fazla sayıda olan yardımcı hücrelere ne ad verilir?|hücrelere|yardımcı|ENTIRY|CELL.TYPE|nöroglia (glia)  
Nörotransmitter madde salgısını geçici olarak durduran madde nedir?|madde||ENTITY|SUBSTANCE|morfin
Nötral yağların diğer adı nedir?|adı|diğer|ENTITY|SUBSTANCE|Trigliseritler
Nükleik asitler kaç yılında bulunmuştur?|yılında bulunmuştur||TEMPORAL|DATE|1868
Nükleik asitleri kim bulmuştıur?|bulmuştıur||HUMAN|INDIVIDUAL|Miescher
Öğrenme ile sonradan kazanılmış reflekslere ne ad verilir?|reflekslere||ENTITY|PROCESS.ANIMAL|kazanılmış refleks
Ökaryot hücreler temel olarak kaç kısımdan oluşur?|kısımdan oluşur||NUMERIC|COUNT|3
Ökaryot hücrelerde kalıtım materyali nerede bulunur?|bulunur||ENTITY|ORGANELLE|Çekirdekte
