Geography Factoid Questions||||||
Question|Focus|Mod|Coarse Class|Fine Class|Answer|
Özbekistan'ın kuruluş yılı nedir?|kuruluş yılı||TEMPORAL|DATE|1991|
Ozon oluşumu hangi katmanda oluşur?|katmanda||ENTITY|OTHERS|Mezosfer- Ozonosfer|
Ozon tabakasının incelmesinin en önemli sebebi nedir?|sebebi|en önemli|DESCRIPTION|REASON|Kloroflorokarbon gazları|
P dalgalarının manto ile çekirdek arasındaki hızları ne kadardır?|hızları kadardır||NUMERIC|SPEED|13 km s|
Paleozoik dönemdeki tek büyük kara parçası nedir?|kara parçaşı|tek büyük|ENTITY|OTHERS|Pangea|
Pamuk bitkisinin tohumuna ne ad verilir?|tohumuna ad||ENTITY|OTHERS|Çiğit|
Pamukkale travertenleri hangi ilin sınırları içerisindedir?|ilin sınırları||LOCATION|CITY|Denizli|
Panama kanalından bir yılda yaklaşık kaç gemi geçmektedir?|gemi||NUMERIC|AVERAGE|13-14 bin/13000 14000|
Pangea’nın ikiye ayrılmasıyla güneyde oluşan kara parçasının adı nedir?|adı||ENTITY|OTHERS|Gondwana|
Paraleller hangi doğrultuda uzanır?|doğrultuda||ENTITY|OTHERS|Doğu-Batı|
Patamoloji nedir?|patamoloji||DESCRIPTION|DEFINITION|Akarsu bilimi|
Pekin'in nüfusu kaç kişidir?|kişidir||NUMERIC|SIZE.POPULATION|19 Milyon/19000000/19.000.000|
Petrol ürünlerinin kullanılması sonucu havaya en çok yayılan gazın adı nedir?|gazın adı||ENTITY|OTHERS|Karbondioksit|
Petrol yataklarımızın büyük bir çoğunluğu hangi bölgemizde yer almaktadır?|bölgemizde||LOCATION|REGION.LOCAL|Güneydoğu Anadolu|
Peygamberler ve din yayıcılarının yaşadığı yerler etrafında kurulan şehirlere ne denir?|şehirlere denir||DESCRIPTION|DEFINITION|Dini kentler|
Pirinç hangi bitkinin kabuklarından ayrılmasıyla elde edilir?|bitkinin||ENTITY|PLANT|Çeltik|
Profil hangi tip haritalardan çıkarılabilir?|tip haritalardan||ENTITY|OTHERS|Fiziki Haritalardan|
Püskürük ve tortul kayaçların aşırı sıcaklık ve basınç altında kalarak değişime uğramasıyla oluşan kayaçlara ne isim verilir?|kayaçlara isim||ENTITY|ENTITY||
Ramsar sözleşmesi ilk ne zaman imzalanmıştır?|zaman imzalanmıştır||TEMPORAL|DATE|1971|
Regresyon kısaca nedir?|regresyon||DESCRIPTION|DEFINITION|Deniz gerilemesi|
Renkli televizyonun ilk üretilme tarihi nedir?|üretilme tarihi|ilk|TEMPORAL|DATE|1928|
Rihter ölçeği ne amaçla kullanılır?|amaçla||DESCRIPTION|REASON|Deprem şiddetini ölçmek|
Rize çay üretimimizin yüzde kaçını karşılar?|çay üretimimizin yüzde||NUMERIC|PERCENTAGE|0.75/%75/75%|
Rotterdam hangi ülkenin şehridir?|ülkenin||LOCATION|COUNTRY|Hollanda|
Rusya Federasyonu hangi yıl kurulmuştur?|yıl||TEMPORAL|DATE|1991|
Rusya hangi ülkenin dağılmasıyla kurulmuştur?|ülkenin||LOCATION|COUNTRY|SSCB|
Rusya'daki petrol rezervlerinin %80'i Rusya'nın hangi bölgesinde bulunur?|bölgesinde||LOCATION|REGION|Sibirya|
Rusya'nın hangi kıtalarda toprağı vardır?|kıtalarda||LOCATION|CONTINENT|Avrupa Asya|
Rüzgar enerjisi hangi ülke tarafından keşfedilmiştir?|ülke||LOCATION|COUNTRY|Danimarka|
Rüzgarın hızı kaç kilometrenin üzerine çıkarsa fırtına denir?|kilometrenin üzerine||NUMERIC|SPEED|63 km|
Rüzgarın hızı neyle ölçülür?|ölçülür||ENTITY|INSTRUMENT|anemometre|
Rüzgârların taşıyarak oluşturdukları topraklara ne ad verilir?|topraklara ad||DESCRIPTION|DEFINITION|Lös topraklar|
S dalgaları deprem esnasında hangi dalgalardan sonra gelirler?|dalgalardan||ENTITY|OTHERS|P dalgalarından|
Saat dilimleri kaç meridyende bir numaralandırılır?|meridyende bir||NUMERIC|COUNT|15|
Sadabat Paktı hangi ülkelerden oluşuyordu?|ülkelerden||LOCATION|COUNTRY|Türkiye İran Irak Afganistan|
Sadece Türkiye'de bulunan ve dünyanın başka hiç bir yerinde görülmeyen bitkilere ne ad verilir?|bitkilere ad||DESCRIPTION|DEFINITION|Endemik bitki|
Sakarya nehri hangi denize dökülür?|denize||ENTITY|SEA|Karadeniz|
Sanayi devrimi ile en önemli nüfus artışı hangi kıtada yaşanmıştır?|kıtada||LOCATION|CONTINENT|Avrupa|
Sanayi devrimi kaçıncı yüzyılda gerçekleşmiştir?|yüzyılda||TEMPORAL|CENTURY|18. Yüzyıl/XVIII. yy|
Sanayi İnkılâbı ilk olarak hangi ülkede başlamıştır?|ülkede|ilk olarak|LOCATION|COUNTRY|İngiltere|
Sanayi tesislerinde kullanılmak üzere işlenmiş ya da yarı işlenmiş maddelere ne ad verilir?|maddelere ad||DESCRIPTION|DEFINITION|Ham madde|
Sanayi’nin diğer adı nedir?|adı|diğer|ENTITY|OTHERS|Endüstri|
Sanayileşmenin artmasıyla, maden yataklarının etrafında baş gösteren şehirleşme çeşidi nedir?|şehirleşme çeşidi||DESCRIPTION|DEFINITION|Sanayi şehirleri|
Sarıçam Türkiye'de daha çok nerede bulunur?|bulunur|daha çok|LOCATION|REGION.LOCAL|Kuzey anadolu dağları|
Savaşlar, sınır ihlalleri ve iç karışıklıklar nedeniyle can güvenliklerini sağlamak için ülke değiştiren insanlara ne denir?|ülke değiştiren insanlara denir||DESCRIPTION|DEFINITION|Mülteci|
Sel sularının akarsu yatağının dışına çıkarak tarım alanlarına taşmasına ne denir?|taşmasına denir||DESCRIPTION|DEFINITION|Taşkın|
Seralarda sürdürülen faaliyetlere ne ad verilir?|faaliyetlere ad||DESCRIPTION|DESCRIPTION|Seracılık|
Seramik, porselen, çömlek, tuğla ve kiremit yapımında ham madde olarak hangi toprak çeşidi kullanılır?|toprak çeşidi||ENTITY|OTHERS|Killi toprak|
Ses kayıt makinasının icat edilme tarihi nedir?|icat edilme tarihi||TEMPORAL|DATE|1877|
Sıcak su kaynaklarından yararlanılarak elektrik enerjisi üreten santrallere ne denir?|santrallere||DESCRIPTION|DEFINITION|Jeotermal Santraller|
Sıcaklık ve nem bakımından farklı özellikteki hava kütlelerinin karşılaşma alanlarında ne meydana gelir?|meydana gelir||ENTITY|OTHERS|cephe yağışı|
Sınırları belli bir alanda, belli bir süre içinde nüfus sayısındaki değişime ne denir?|değişime denir||DESCRIPTION|DEFINITION|Nüfus artışı|
Sirüs bulutları kaç metre yükseklikte bulunur?|metre||NUMERIC|SIZE.HEIGHT|18000 m|
Sismoloji neyle ilgili araştırmaları yapar?|ilgili||ENTITY|ENTITY|Deprem|
Sıvı haldeki astenosfer malzemesine ne denir?|astenosfer malzemesine denir||ENTITY|SUBSTANCE||
Soma ovasını sulayan ırmağın adı nedir?|ırmağın adı||ENTITY|RIVER|Bakırçay|
Son yüzyılda, bilim ve teknolojinin gelişiminde başı çeken şehirlere ne ad verilir?|şehirlere ad||DESCRIPTION|DEFINITION|Teknoloji kentleri|
SSCB'nin açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Sovyet Sosyalist Cumhuriyetler Birliği|
Su gücünden elde edilen elektrik enerjisine ne denir?|elektrik enerjisine denir||DESCRIPTION|DEFINITION|Hidroelektrik|
Su gücüyle çalışan iplik makinesi hangi tarihte icat edilmiştir?|tarihte||TEMPORAL|DATE|1769|
Su gücüyle çalışan iplik makinesi kim tarafından icat edilmiştir?|icat edilmiştir||HUMAN|INDIVIDUAL|Richard Arkwright|
Su küre, taş küre ve hava kürenin her birine yayılmış olan küre hangisidir?|küre||ENTITY|OTHERS|hava küre (atmosfer)|
Sudaki tek hücreli canlıların ortaya çıkışı hangi jeolojik zamana rastlar?|jeolojik zamana||TEMPORAL|ERA|İlkel zaman|
Sürülmesi ve işlenmesi zor, kil oranı fazla olan topraklara ne isim verilir?|topraklara isim||DESCRIPTION|DEFINITION|Vertisol|
Susurluk çayının diğer adı nedir?|adı|diğer|ENTITY|RIVER|Simav çayı|
Süveyş Kanalının uzunluğu ne kadardır?|uzunluğu kadardır||NUMERIC|SIZE.LENGTH|161 Km|
Suyun atmosfer ile yeryüzü arasındaki dönüşüm hareketine ne ad verilir?|dönüşüm hareketine ad||DESCRIPTION|DEFINITION|Su döngüsü|
Suyun kinetik enerjisinden yararlanılarak elektrik üretimi yapılan santrallere ne ad verilir?|santrallere ad||DESCRIPTION|DEFINITION|Hidroelektrik Santral|
Suyun litosfer, hidrosfer ve atmosfer arasındaki hareketi ne olarak adlandırılır?|olarak adlandırılır||DESCRIPTION|DEFINITION|Su döngüsü|
Tac Mahal'i kim yaptırmıştır?|yaptırmıştır||HUMAN|INDIVIDUAL|Babür Şah'ı|
Tarih boyunca insanın doğadan yararlanmasını hızlandıran en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Sanayi devrimi|
Tarım sektöründe sulamadan sonra verimi artıran en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Gübreleme|
Tarım, hayvancılık ve ticari faaliyetler ilk kez hangi çağda başlamıştır?|çağda||TEMPORAL|ERA|Yeni taş çağı/Neolitik çağ|
Tarıma elverişli araziler ülkemiz topraklarının ne kadarını oluşturur?|kadarını oluşturur||NUMERIC|PERCENTAGE|0.33/33%/%33|
Tarımı sınırlayan en önemli etmen nedir?|etmen|en önemli|DESCRIPTION|REASON|İklim|
Taş kömürü, demir, petrol ve altın gibi kaynakların etrafına kurulan şehirlere ne isim verilir?|şehirlere isim||DESCRIPTION|DEFINITION|Maden şehirleri|
Taşkömürü yatakları hangi jeolojik zamanda oluşmuştur?|jeolojik zamanda||TEMPORAL|ERA|1.Zaman/paleozik|
TCDD'nin açılımı nedir?|açılımı||ABBREVIATION|EXPRESSION|Türkiye Cumhuriyeti Devlet Demiryolları|
Tek sıvı maden hangisidir?|maden|tek sıvı|ENTITY|SUBSTANCE|Civa|
Tektonik hareketlere neden olan enerji kaynağı nedir?|enerji kaynağı||ENTITY|OTHERS||
Telefon hangi tarihte icat edildi?|tarihte||TEMPORAL|DATE|1861|
Telgraf hatlarının kurulması ile hangi iletişim türü başlamıştır?|iletişim türü||ENTITY|OTHERS|Elektronik iletişim|
Terrarosa toprakları hangi bölgemizde daha sık görülür?|bölgemizde||LOCATION|REGION.LOCAL|Akdeniz|
Teşvik-i Sanayi Kanunu ne zaman çıkarılmıştır?|zaman çıkarılmıştır||TEMPORAL|DATE|1926|
Ticaretin öneminin artmasıyla deniz kıyısına kurulan şehirlere ne denir?|şehirlere denir||DESCRIPTION|DEFINITION|Liman şehirleri|
Tiftik keçisi ne olarak da bilinir?|olarak da bilinir||ENTITY|OTHERS|Ankara Keçisi|
TİGEM neyin kısaltmasıdır?|kısaltmasıdır||ABBREVIATION|EXPRESSION|Tarım İşletmeleri Genel Müdürlüğü|
Toba dağı hangi ülke sınırları içerisindedir?|ülke sınırları||LOCATION|COUNTRY|Endonezya|
Töhoku depremi ne zaman gerçekleşmiştir?|zaman gerçekleşmiştir||TEMPORAL|DATE|2011|
Toprağın belirli bir süre için tamamen veya kısmen aniden su altında kalmasına ne denir?|su altında kalmasına denir||DESCRIPTION|DEFINITION|Sel|
Toprağın katı, sıvı ve radyoaktif maddeler tarafından fiziksel ve kimyasal özelliklerinin bozulmasına ne denir?|bozulmasına denir||DESCRIPTION|DEFINITION|Toprak kirliliği|
Toprağın yağış suları ve rüzgarlar tarafından aşındırılıp taşınmasına ne denir?|taşınmasına denir||DESCRIPTION|DEFINITION|Erozyon|
Toprak çeşitlerinden hangisinin tarımsal verimliliği en fazladır?|toprak çeşitlerinden||ENTITY|OTHERS|Alüvyal|
Toprak evlerin en yaygın tipi nedir?|tipi|en yaygın|DESCRIPTION|DEFINITION|Kerpiç|
Toprak kaymalarını harekete geçiren en önemli faktör nedir?|faktör|en önemli|DESCRIPTION|REASON|Yer çekimi|
Toprak Mahsulleri Ofisi'nin kısaltması nasıldır?|kısaltması||ABBREVIATION|ABBREVIATION|TMO|
Toprak yüzeyinin akarsular, sel suları ve rüzgar gibi dış kuvvetler tarafından aşındırılarak taşınmasına ne denir?|taşınmasına denir||DESCRIPTION|DEFINITION|Erozyon|
Topraklar oluşum yerlerine göre kaç gruba ayrılır?|gruba||NUMERIC|COUNT|3|
Toros Dağları hangi jeolojik zamanda oluşmuştur?|jeolojik zamanda||TEMPORAL|ERA|III.Zaman/Tersiyer|
Tortul kayaçların bir diğer adı nedir?|kayaçların adı|diğer|ENTITY|OTHERS||
Tortum çayı hangi akarsuyun bir koludur?|akarsuyun koludur||ENTITY|RIVER|Çoruh Nehri|
Transgresyon kısaca nedir?|transgresyon||DESCRIPTION|DEFINITION|Deniz ilerlemesi|
Transgresyon ve regresyon hangi hareketler dahilinde incelenir?|hareketler||ENTITY|OTHERS|Epirojenik hareketler|
Transsibirya demiryolu hattının yaklaşık uzunluğu ne kadardır?|uzunluğu kadardır|yaklaşık|NUMERIC|AVERAGE|15000 km|
TSE bağımsız bir kamu kuruluşuna ne zaman dönüşmüştür?|zaman dönüşmüştür||TEMPORAL|DATE|1960|
TSE ne demektir?|TSE||ABBREVIATION|EXPRESSION|Türk Standartları Enstitüsü|
TSE ne zaman kurulmuştur?|zaman kurulmuştur||TEMPORAL|DATE|1954|
Tsunami denen dev dalgalara ne sebep olur?|sebep olur||DESCRIPTION|REASON||
Tuğla, briket, çimento ve gaz beton gibi çeşitli yapı malzemelerinin kullanıldığı yapılara ne ad verilir?|yapılara ad||DESCRIPTION|DEFINITION|Betonarme yapılar|
TÜİK neyin kısaltmasıdır?|kısaltmasıdır||ABBREVIATION|EXPRESSION|Türkiye İstatistik Kurumu|
Tüketim neyin kullanılmasıdır?|kullanılmasıdır||DESCRIPTION|DEFINITION|Mal ve Hizmetlerin|
Tunceli'nin önceki adı nedir?|adı|önceki|ENTITY|OTHERS|Dersim|
Tundra bölgelerinde en yüksek hava sıcaklığı kaç dereceye ulaşır?|dereceye||NUMERIC|DEGREE|10 C|
Tundra topraklar hangi bölgelerde görülür?|bölgelerde||LOCATION|REGION|Kutuplara yakın|
Turizm teşvik kanunu ne zaman çıkmıştır?|zaman çıkmıştır||TEMPORAL|DATE|1982|
Türk coğrafyasının en batısında hangi ülke yer alır?|ülke||LOCATION|COUNTRY|Kosova|
Türk coğrafyasının en doğusundaki ülkenin adı nedir?|ülkenin adı||LOCATION|COUNTRY|Moğolistan|
Türk kültürü hangi kültürlere komşudur?|kültürlere||HUMAN|NATION|Çin Tibet Hint|
Türk kültürünün ocağı neresidir?|ocağı||DESCRIPTION|DEFINITION|Orta Asya|
Türkiye AB müzakerelerine ne zaman başlamıştır?|zaman başlamıştır||TEMPORAL|DATE|3 ekim 2005|
Türkiye AGİT'e kaç yılında üye olmuştur?|yılında||TEMPORAL|DATE|1999|
Türkiye Almanya ile hangi yılda işçi göçü anlaşması yapmıştır?|yılda||TEMPORAL|DATE|1961|
Türkiye arazisinin yüzde kaçı düz ve hafif eğimlidir?|Türkiye arazisinin yüzde||NUMERIC|PERCENTAGE|%8.5|
Türkiye arazisinin yüzde kaçı ormanlık alandır?|yüzde||NUMERIC|PERCENTAGE|0.26|
Türkiye arazisinin yüzde kaçında tarım yapılmaktadır?|Türkiye arazisinin yüzde||NUMERIC|PERCENTAGE|0.36/%36/36%|
Türkiye EEA'ya kaç yılında üye olmuştur?|yılında||TEMPORAL|DATE|2003|
Türkiye en çok beyin göçü veren ülkeler arasında kaçıcı sıradadır?|sıradadır||NUMERIC|COUNT|24|
Türkiye en fazla hangi ülkeye işçi göçü vermiştir?|ülkeye||LOCATION|COUNTRY|Almanya|
Türkiye hangi deprem kuşağında yer almaktadır?|deprem kuşağında||ENTITY|OTHERS|Alp himalaya|
Türkiye hangi yarım kürede yer almaktadır?|yarım kürede||ENTITY|SPHERE|Kuzey Yarım Küre|
Türkiye hangi yıl Avrupa B0irliği'ne aday ülke olarak açıklanmıştır?|yıl||TEMPORAL|DATE|1999|
Türkiye hidroelektrik üretim potansiyeli açısından dünya sıralamasında kaçıncıdır?|dünya sıralamasında||NUMERIC|COUNT|3|
Türkiye İstatistik Kurumunun kısa adı nedir?|adı|kısa|ABBREVIATION|ABBREVIATION|TÜİK|
Türkiye OECD'ye ne zaman üye olmuştur?|zaman üye olmuştur||TEMPORAL|DATE|1948|
Türkiye ormanlarının yüzde kaçı Ege bölgesinde bulunur?|Türkiye ormanlarının yüzde||NUMERIC|PERCENTAGE|0.17|
Türkiye ormanlarının yüzde kaçı Karadeniz bölgesinde bulunur?|Türkiye ormanlarının yüzde||NUMERIC|PERCENTAGE|0.25/25%/%25|
Türkiye Petrolleri Anonim Ortaklığının kısa adı nedir?|adı|kısa|ABBREVIATION|ABBREVIATION|TPAO|
Türkiye Ramsar sözleşmesini ne zaman imzalamıştır?|zaman imzalanmıştır||TEMPORAL|DATE|1993|
Türkiye Sanayi ve Maden Bankası hangi tarihte kurulmuştur?|tarihte||TEMPORAL|DATE|1923|
Türkiye şeker pancarı üretimine ne zaman başlamıştır?|zaman başlamıştır||TEMPORAL|DATE|1926|
Türkiye Zirai Donatım Kurumu'nun kısa adı nedir?|adı|kısa|ABBREVIATION|ABBREVIATION|TZDK|
Türkiye, hangi kıtalar arasında yer almaktadır?|kıtalar arasında||LOCATION|CONTINENT|Asya Avrupa|
Türkiye’de çay üretimi hangi bölgede olur?|bölgede||LOCATION|REGION.LOCAL|Doğu Karadeniz|
Türkiye'de 100 kilometrekarelik alana düşen yol kaç kilometredir?|yol kilometredir||NUMERIC|SIZE.LENGTH|3 kilometre/3 km|
Türkiye'de 100 km2'ye düşen yol kaç km'dir?|yol km'dir||NUMERIC|SIZE.LENGTH|3 Km|
Türkiye'de 100 km2'ye düşen yol ne kadardır?|yol kadardır||NUMERIC|SIZE.LENGTH|3 Km|
Türkiye'de 1000 kişiye kaç km yol düşmektedir?|km yol||NUMERIC|SIZE.LENGTH|1 km|
Türkiye'de azonal(taşınmış) topraklar içinde en yaygın olanı hangisidir?|azonal(taşınmış) topraklar|en yaygın olanı|ENTITY|ENTITY|Alüvyal topraklar|
Türkiye'de birinci beş yıllık sanayi alanı hangi tarihte yürürlüğe konmuştur?|tarihte||TEMPORAL|DATE|1933|
Türkiye'de çayır ve otlakların en fazla olduğu bölge hangisidir?|bölge||LOCATION|REGION.LOCAL|Doğu Anadolu.|
Türkiye'de cephesel yağışlar en çok hangi bölgede görülür?|bölgede||LOCATION|REGION.LOCAL|Akdeniz.|
Türkiye'de ekili dikili alanların en az yer kapladığı bölge hangisidir?|bölge||LOCATION|REGION.LOCAL|Doğu Anadolu|
Türkiye'de ekili dikili alanların en fazla yer kapladığı bölge hangisidir?|bölge||LOCATION|REGION.LOCAL|Marmara.|
Türkiye'de en az insan nüfusuna sahip olan şehir hangisidir?|şehir||LOCATION|CITY|Bayburt|
Türkiye'de en çok yetiştirilen tahıl ürünü nedir?|tahıl ürünü||ENTITY|PLANT|Buğday|
Türkiye'de en fazla can kaybına yol açan doğal afetin adı nedir?|afetin adı|doğal|ENTITY|OTHERS|Deprem|
Türkiye'de en fazla pirinç tarımının yapıldığı akarsu havzasının ismi nedir?|akarsu havzasının ismi||ENTITY|RIVER|Ergene/Meriç|
Türkiye'de en uzun gündüz hangi tarihlerde yaşanır?|tarihlerde||TEMPORAL|PERIOD|21 - haziran|
Türkiye'de endemik bitki kaç adettir?|bitki adettir|endemik|NUMERIC|COUNT|3000|
Türkiye'de güneyden esen rüzgârın ismi nedir?|rüzgârın ismi||ENTITY|WIND|Kıble|
Türkiye'de heyelan olayları en çok hangi mevsimde olur?|mevsimde|en çok|TEMPORAL|SEASON|İlkbahar|
Türkiye'de heyelan set göllerinin en fazla görüldüğü bölge neresidir?|bölge||LOCATION|REGION.LOCAL|Karadeniz Bölgesi|
Türkiye'de ikinci nüfus sayımı hangi tarihte yapılmıştır?|tarihte||TEMPORAL|DATE|1935|
Türkiye'de ilk periyodik nüfus sayımı ne zaman yapılmıştır?|zaman yapılmıştır||TEMPORAL|DATE|1927|
Türkiye'de ilk şeker fabrikası hangi tarihte kurulmuştur?|tarihte||TEMPORAL|DATE|1926|
Türkiye'de ilk uçak ne zaman üretildi?|zaman üretildi||TEMPORAL|DATE|1936|
Türkiye'de kaç adet koruma alanı vardır?|adet koruma alanı||NUMERIC|COUNT|4|
Türkiye'de kaç adet milli park vardır?|adet milli park||NUMERIC|COUNT|33|
Türkiye'de kaç adet tabiat anıtı bulunmaktadır?|det tabiat anıtı||NUMERIC|COUNT|58|
Türkiye'de kaç adet tabiatı koruma alanı vardır?|adet tabiatı koruma alanı||NUMERIC|COUNT|35|
Türkiyede kaç tane büyük fay hattı bulunur?|tane büyük fay hattı||NUMERIC|COUNT|3|
Türkiyede kaç tane deprem bölgesi vardır?|tane deprem bölgesi||NUMERIC|COUNT|3|
Türkiye'de kullanılabilir suyun yüzde kaçı içilebilir su olarak kullanılmaktadır?|suyun yüzde||NUMERIC|PERCENTAGE|16%|
Türkiye'de maden yatakları ve çeşitleri bakımından en zengin bölge hangisidir?|bölge|en zengin|LOCATION|REGION.LOCAL|doğu anadolu bölgesi|
Türkiye'de nüfusun çoğunlukta olduğu yaş grubu hangisidir?|yaş grubu||HUMAN|GROUP|Yetişkin nüfus|
Türkiyede ortalama kaç adet baraj gölü bulunmaktadır?|adet baraj gölü||NUMERIC|AVERAGE|555|
Türkiyede ortalama kaç tane doğal göl vardır?|tane doğal göl||NUMERIC|AVERAGE|120|
Türkiye'de şehirler fonksiyonlarına göre kaça ayrılırlar?|şehirler ayrılırlar||NUMERIC|COUNT|6|
Türkiye'de tarım alanları ülke arazisinin yüzde kaçını oluşturur?|yüzde||NUMERIC|PERCENTAGE|0.33|
Türkiyede üretilen ilk uçağa ne ad verilmiştir?|uçağa ad||ENTITY|OTHERS|ND-36|
Türkiye'de üretilen ilk uçak hangi ilçede üretildi?|ilçede||LOCATION|CITY|Beşiktaş|
Türkiye'de üzerinde ulaşım ve taşımacılık yapılan akarsu hangisidir?|akarsu||ENTITY|RIVER|Bartın çayı/Kocaırmak|
Türkiyede yaklaşık kaç farklı bitki türü bulunmaktadır?|bitki türü|farklı|NUMERIC|COUNT|20000|
Türkiyede yetiştirilen tarım ürünlerinin çeşitliliği temelde neye bağlıdır?|bağlıdır||DESCRIPTION|REASON|İklim çeşitliği|
Türkiye'de yılda ortalama kaç adet sel felaketi olmaktadır?|adet sel felaketi|ortalama|NUMERIC|AVERAGE|23|
Türkiyedeki bitki çeşitlilğinin fazla olmasının en önemli sebebi nedir?|sebebi|en önemli|DESCRIPTION|REASON|İklim|
Türkiye'deki denizlerden en az tuzluluk oranına sahip olan deniz hangisidir?|deniz||ENTITY|SEA|Karadeniz|
Türkiye'deki kültür balıkçılığı hangi iki balık üzerine yoğunlaşmıştır?|balık|iki|ENTITY|OTHERS|Alabalık sazan|
Türkiye'deki Kuzey Anadolu Dağları ve Toros Dağları hangi jeolojik zamanda oluşmuştur?|jeolojik zamanda||TEMPORAL|ERA||
Türkiye'deki Kuzey Anadolu Dağları ve Toros Dağları hangi orojenez sonucunda oluşmuştur?|orojenez||ENTITY|OTHERS||
Türkiye'deki sarp bölgelerin kapladığı alan ne kadardır?|alan kadardır||NUMERIC|SIZE.AREA|487864 Km2|
Türkiye'deki su kaynaklarının en bol olduğu bölge hangisidir?|bölge||LOCATION|REGION.LOCAL|Doğu Anadolu|
Türkiye'den Avrupaya ilk işçi göçleri hangi yıllar arasında gerçekleşmiştir?|yıllar arasında||TEMPORAL|PERIOD|1958-1961|
Türkiye'nin doğusundan esen soğuk ve kuru rüzgâr hangisidir?|rüzgâr|soğuk ve kuru|ENTITY|WIND|Gündoğusu|
Türkiye'nin en az nüfusa sahip ilinin adı nedir?|ilinin adı||LOCATION|CITY|Bayburt|
Türkiye'nin en büyük adası hangisidir?|adası|en büyük|LOCATION|CITY|Gökçeada|
Türkiye'nin en büyük baraj gölü hangisidir?|baraj gölü|en büyük|ENTITY|OTHERS|Atatürk|
Türkiye'nin en büyük baraj gölünün adı nedir?|baraj gölünün adı|en büyük|ENTITY|OTHERS|Atatürk|
Türkiyenin en büyük gölü nedir?|gölü|en büyük|ENTITY|LAKE|Van gölü|
Türkiye'nin en büyük ovasının adı nedir?|ovasının adı|en büyük|ENTITY|PLAIN|Konya Ovası|
Türkiye'nin en büyük yüz ölçümüne sahip ilinin adı nedir?|ilinin adı||LOCATION|CITY|Konya|
Türkiye'nin en doğu ile en batı ucu arasınaki zaman farkı kaçtır?|zaman farkı||NUMERIC|COUNT|76 dk|
Türkiye'nin en doğu ucu ile en batı ucu arasındaki uzaklık ne kadardır?|uzaklık kadardır||NUMERIC|SIZE.LENGTH|1565 km|
Türkiye'nin en geniş kapalı havzası hangi bölgemizdedir?|bölgemizdedir|en geniş kapalı|LOCATION|REGION.LOCAL|İç Anadolu|
Türkiye'nin en geniş yüz ölçümüne sahip şehri neresidir?|şehri||LOCATION|CITY|Konya|
Türkiye'nin en kalabalık şehrinin adı nedir?|şehrinin adı|en kalabalık|LOCATION|CITY|İstanbul|
Türkiye'nin en yüksek bölgesi hangisidir?|bölgesi|en yüksek|LOCATION|REGION.LOCAL|doğu anadolu bölgesi|
Türkiye'nin en yüksek dağı hangisidir?|dağı|en yüksek|ENTITY|MOUNTAIN|Ağrı Dağı|
Türkiye'nin Ermenistan ile olan sınırının uzunluğu kaç kilometredir?|kilometredir||NUMERIC|SIZE.LENGTH|316 km|
Türkiye'nin iç kesimlerinde ormanların tahrip edilmesiyle oluşan ve doğal olmayan bozkır alanlarına ne denir?|bozkır alanlarına denir||DESCRIPTION|DEFINITION|Antropojen bozkır|
Türkiye'nin ikinci büyük şehri hangisidir?|şehri|ikinci büyük|LOCATION|CITY|Ankara|
Türkiye'nin Irak ile olan sınırının uzunluğu kaç kilometredir?|kilometredir||NUMERIC|SIZE.LENGTH|331 km|
Türkiye'nin İran ile olan sınırının uzunluğu ne kadardır?|uzunluğu kadardır||NUMERIC|SIZE.LENGTH|454 km|
Türkiye'nin kara sınırlarının toplam uzunluğu ne kadardır?|uzunluğu kadardır|toplam|NUMERIC|SIZE.LENGTH|2753 km|
Türkiye'nin kuzeybatısından esen yerel rüzgârın adı nedir?|rüzgârın adı|yerel|ENTITY|WIND|Karayel|
Türkiyenin nüfus yoğunluğu en az olan bölgesi hangisidir?|bölgesi||LOCATION|REGION.LOCAL|Doğu anadolu|
Türkiye'nin nüfusu ne kadardır?|nüfusu||NUMERIC|SIZE.POPULATION|Yaklaşık 76 Milyon|
Türkiye'nin ortalama yüz ölçümü ne kadardır?|yüz ölçümü kadardır|ortalama|NUMERIC|SIZE.AREA|814.000 km2|
Türkiye'nin Suriye ile olan sınırının uzunluğu ne kadardır?|uzunluğu kadardır||NUMERIC|SIZE.LENGTH|877 km|
Türkiye'nin üçüncü büyük şehri hangisidir?|şehri|üçüncü büyük|LOCATION|CITY|İzmir|
Türkiye'nin Yunanistan ile olan sınırının uzunluğu kaç kilometredir?|kilometredir||NUMERIC|SIZE.LENGTH|212 km|
Türkiye'nin yüzölçümü olarak en büyük bölgesi hangisidir?|bölgesi|en büyük|LOCATION|REGION.LOCAL|Doğu anadolu bölgesi|
Türkiye'ye batıdan esen sıcak nemli rüzgâr hangisidir?|rüzgâr|sıcak nemli|ENTITY|WIND|Günbatısı|
Türkiye'ye kuzeyden esen rüzgâra ne denir?|rüzgâra denir||ENTITY|WIND|Yıldız|
Türkiye'ye kuzeydoğudan esip genellikle soğuk getiren rüzgâr hangisidir?|rüzgâr||ENTITY|WIND|Poyraz|
