Bitkilerde aynı görevi yapmak üzere özelleşmiş hücre topluluklarına ne ad verilmektedir|||||doku 
Bitkilerin tarihi eserini kim yazmıştır?|||||John Ray
Tür tanımı ilk kez hangi eserde yapılmıştır?|||||Bitkilerin tarihi
İkili adlandırmayı kim bulmuştur?|||||Carolus Linneaus
İkili adlandırmayı bilim dünyasına kazandıran kişi kimdir?|||||Carolus Linneaus
İkili adlandırma kaç yılında bulunmuştur?|||||1753
Hayvanlar, bitkiler, mantarlar, protestalar ve monera sınıflarını ilk öneren bilim insanı kimdir?|||||Robert whittaker
Hayvanlar, bitkiler, mantarlar, protestalar ve monera sınıfları ilk ne zaman önerilmiştir?|||||1959
Arkebakteriler alemini tanımlayan bilim insanı kimdir?|||||Carl woese
Arkebakteriler alemi kaç yılında tanımlandır?|||||1977
Biyoloji alanında canlıları belirli bir düzene sokmaya çalışan ve bu amaca yönelik ilkeler geliştiren bilim dalına ne denir?|||||Taksonomi
taksonomi ve sınıflandırmadan farklı ve kapsamlı olarak, canlıların birbirleri ile benzerlik ve farklılıklarını inceleyen bilim dalına ne denir?|||||Sistematik
Kabul gören ilk sınıflandırma kime aittir?|||||Aristo
Canlıların dış görünüşlerine, görev benzerliklerine ve yaşadıkları yere göre yapılan sınıflandırmaya ne denir?|||||Yapay sınıflandırma
Ortak  bir atadan meydana gelen, yapı ve görev bakımından benzer organlara sahip, çiftleştiklerinde verimli döller verebilen canlıların oluşturduğu topluluğa ne denir?|||||Tür
Bakteri kelimesini ilk kez kullanan bilim insanı kimdiR?|||||Christian gotfried ehrenberg
Bakteri kelimesi ilk kez ne zaman kullanıldır?|||||1838
Bakteri alemi yaklaşık kaç türden oluşur?|||||5000
Mantarların yapılarında bulunan ince iplikçiklere ne denir?|||||Hif
Protistalar için Protoctista kelimesini ilk kullanan kimdir|||||John Hogg
John Hogg protoctista kelimesini ilk ne zaman kullanmıştır?|||||1860
Proctista kelimesi ilk kez hangi yıl kullanılmıştır?|||||1860
Protoctista alemini ilk öneren bilim insanı kimdir?|||||Ernst haekel
Ernst haeker protista alemini ilk kez ne zaman önermiştir?|||||1866
İnsanda kullanılan ilk antibiyotik nedir?|||||Penisilin
Mantarların bitkilerden farklı olarak sınıflandırılması gerektiğini ilk ortaya atan kimdir?|||||Robert whittaker
Bakteriler dünyada yaklaşık kaç yıldır bulunmaktadır?|||||3,5 milyar yıl
Azot gazı atmosferin yüzde kaçını oluşturur?|||||78%
İnsanlar, hayvanlar ve bazen bitkilerde ortaya çıkan bakteriyel enfeksiyonları tedavi etmek amacıyla kullanılan maddelere ne denir?|||||Antibiyotik
Hastalık yapıcı bakterilere ne denir?|||||Patojen
Hücre zarı yapısı, ve farklı genetik özellikleri nedeniyle farklı bir grup altında incelenen bakterilere ne denir?|||||Arkebakteriler
Bakterilerde genetik bilgiyi taşıyan madde nedir?|||||Nükleik asit
Protistalar yaşamsal faaliyetlerinin çoğunu nerede gerçekleştirir?|||||Sitoplazmada
Sıtma hastalığına hangi protozoon sebep olur?|||||Plazmodyum
Üretici protistalara ne denir?|||||Algler
Alglerin büyük çoğunluğu nerede yaşar?|||||Suda
Suda bulunan, aktif hareket yeteneği olmayan, akıntı yönüne bağımlı olarak hareket eden canlılarar verilen genel isim nedir?|||||Plankton
Mantarlar ilk olarak kaç yıl önce ortaya çıkmışlardır?|||||400 milyon yıl
Mantarların üremesi neyin sayesine gerçekleşir|||||Spor
İnsanda meydana gelen mantar hastalıklarının genel terimi nedir?|||||Mikozis
Kola üretiminde gerekli olan sitrik asidin üretilmesi için hangi mantar kullanılmaktadır?|||||Aspergillus
Dünyanın en küçük bitkisi olarak kabul edilen bitki hangisidir?|||||Su mercimeği
Hücre çekirdeğine sahip yapıdaki canlılara ne denir?|||||Ökaryot
Dünyada ortalama kaç farklı bitki türü vardır?|||||280,000
Bitkiler glikoz üretebilmek için ne yaparlar?|||||Fotosentez
Bitkiler oksijen üretebilmek için ne yaparlar?|||||Fotosentez
Bitkilerin sentezledikleri organik besinleri ve suyu hangi, yapı taşır?|||||Damarlar
Bitkinin toprağın altında kalan kısmına ne denir?|||||Kök
Ksilemin diğer adı nedir?|||||Odun borusu
Bitkide su taşıma işlemini gerçekleştiren yapıya ne denir?|||||Ksilem
Bitkide organik maddeleri bitkinin her yanına dağıtan yapıya ne denir?|||||Floem
Soymuk borusunun diğer adı nedir?|||||Floem
Floem'in diğer adı nedir?|||||Soymuk borusu
Bitkilerde fotosentezin en yoğun yapıldığı kısmın adı nedir?|||||Yaprak
Yapraklarda görülen ve karbondioksit-oksijen alışverişini sağlayan yarıklara ne denir?|||||Stoma
Tohumsuz bitkiler ne ile ürer?|||||Spor
Döllenme sonucu oluşan bitki embriyosunun bir kabuğun içinde paketlenmiş haline ne denir?|||||Tohum
Bir meyve yapısı ile korunmayan tohumlu bitkilere ne denir?|||||Açık tohumlu bitkiler
Bir meyve yapısı ile tohumun korunduğu bitkilere ne denir?|||||Kapalı tohumlu bitkiler
Çam bitkisinde tohumları taşıyan yapıya ne denir?|||||Kozalak
Kapalı tohumlu bitkilerin diğer adı nedir?|||||Çiçekli bitkiler
Tohumun meyve ile kuşatıldığı bitkilere ne denir?|||||Kapalı tohumlu bitkiler
Tozlaşma işlemi en çok nasıl gerçekleştirilir?|||||Böceklerle
Polenin dişi organ üzerine ulaşması işlemine ne denir?|||||Tozlaşma
Aspirinin etken maddesi nedir?|||||Salisin
Söğüt ağacının kabuğundan elde edilen ağrı kesici madde nedir?|||||Salisin
Hayvanların hücre yapısı nasıldır?|||||Ökaryot
Hayvanlarla ilgili bilinen en eski fosil kaç yıllıktır?|||||760 milyon yıl
En fazla tür içeren alem hangi alemdir?|||||Hayvanlar alemi
Omurgasız hayvanlar, hayvanlar aleminin yüzde kaçını oluşturur?|||||95%
Omurgasız hayvanlar kaç grupta incelenir?|||||6
Sülük ve toprak solucanlarının türü nedir?|||||Halkalı solucan
Dünyada en fazla görülen solucan tipi hangisidir?|||||Yuvarlak solucan
Hem erkek hem dişi üreme organı bulunduran canlılalara ne denir?|||||Hermafrodit
Yassı solucanlar gaz değişimini vücutlarından nasıl sağlarlar?|||||Difüzyon
Omurgasız hayvanlar içinde kanatlara sahip olan tür hangisidir?|||||Böcekler
Omurgalıların yaklaşık kaç üyesi vardır?|||||48000
Sırtta bulunan, omurlardan oluşmuş, kemik ya da kıkırdak yapıya ne denir?|||||Omurga
Omurgalılar kaç grupta incelenir?|||||5
Balıklar omurgalı canlı grubunun tüm üyeleri nerede yaşar?|||||Suda
Balıklar suda hareket etmek için hanig yapıdan faydalanır?|||||Yüzgeç
Balıklar kaç grupta incelenir?|||||2
İskeleti kıkırdak yapıda olan balıklara ne denir?|||||Kıkırdaklı balıklar
Kıkırdaklı balıklar gaz alışverişini neyle gerçekleştirir?|||||Solungaç
İribaş döneminde suda, erişkin döneminde karada yaşayan hayvanlara ne denir?|||||İki yaşamlılar
İki yaşamlılarda döllenme ve gelişme nerede gerçekleşir?|||||Su altında
Bir çoğunluğunun uçma yeteneğine sahip olduğu omurgalı canlı grubuna ne denir?|||||Kuşlar
Kuşların vücudundaki tüylere ne denir?|||||Hav tüyü
Kuşların kanatlarındaki tüylere ne denir?|||||Telek tüyü
Kuşlar ne solunumu yapar?|||||Akciğer
Kuşlar nasıl ürer?|||||Eşeyli
Yavrularını süt salgılayan meme bezlerinden besleyen canlılara ne denir?|||||Memeli
Memelilerin tek solunum şekli nedir?|||||Akciğer
Memelilerde akciğer ve karın boşluğunu ayıran zara ne denir?|||||Diyafram
Şu ana kadar tespit edilmiş canlı türü sayısı yaklaşık ne kadardır?|||||2 milyon
Bakterileri konakçı hücre olarak kullanan virüslere ne denir?|||||Bakteriyofaj
Virüslerdeki protein kılıfa ne denir?|||||Kapsid
Uçuk virüsünün diğer adı nedir|||||Herpes
Kuduz virüsünün diğer adı nedir?|||||Rabies
Karaciğer iltihabına neden olan hastalık nedir?|||||Hepatit
AIDS'e neden olan virüsün adı nedir|||||HIV
Mars'taki ortalama sıcaklık kaç derecedir|||||-55
Dünya ormancılık günü ne zaman kutlanır|||||21-Mar
Dünya su günü ne zaman kutlanır|||||22-Mar
Yeryüzü iklim günü ne zaman kutlanır|||||15-May
Dünya çevre günü ne zaman kutlanır|||||5-Jun
Çevre biliminin diğer adı nedir|||||Ekoloji
Ekoloji nedir|||||Çevre bilimi
Dünya okyanus günü ne zaman kutlanır|||||8-Jun
Dünya çölleşme ve kuraklıkla mücadele günü ne zaman kutlanır|||||17-Jun
Dünya habitat günü ne zaman kutlanır|||||4-Oct
Hayvanları koruma günü ne zaman kutlanır|||||4-Oct
Dünya tasarruf günü ne zaman kutlanır|||||31-Oct
Yerküreyi saran gaz kütlesine ne denir?|||||atmosfer
Vezüv yanardağ patlaması kaç yılında gerçekleşmiştir?|||||MS 79
Son 150 yılda Dünya'nın ortalama sıcaklığı ne kadar artmıştır|||||0.8C
Bir bölgedeki nem miktarının geçici dengesizliğinden kaynaklanan ve su kıtlığı olarak bilinen iklim olayına ne denir?|||||Kuraklık
HES'in açılımı nedir|||||Hidroelektrik santrali
Bilinen en büyük orman yangını nerede meydana gelmiştir|||||Endonezya
Bilinen en büyük orman yangını hangi yıl meydana gelmiştir?|||||1997
Ülkemizde yaklaşık ne kadar erozyona bağlı toprak kaybı yaşanmaktadır|||||1.4 milyar ton
Türkiye 1973 yılında kaç hektar ormana sahipti|||||20.2 milyon hektar
Türkiye 2004 yılında kaç hektar ormana sahipti|||||21.1. milyon hektar
Türkiye 2010 yılında kaç hektar ormana sahipti|||||21.6 milyon hektar
Bir veya daha fazla sayıda nükleer reaktörün yakıt olarak radyoaktif maddeleri kullanılarak elektrik enerjisinin üretildiği tesise ne denir?|||||Nükleer santral
Atomun çekirdeğinden elde edilen enerjiye ne denir|||||Nükleer enerji
Atomun kararsız hâlden kararlı hâle gelirken yaydığı alfa, beta ve gama ışınlarına ne denir?|||||Radyasyon
Atom bombası fikrini ortaya kim atmıştır|||||Einstein
İlk nükleer enerji santrali kaç yılında açılmıştır|||||1954
İlk nükleer enerji santrali nerede açılmıştır|||||Sovyetler birliği
Bir diş röntgeni ne kadar radyasyon yaymaktadır|||||10 milisievert
Radyolojinin kurucusu olan kimdir|||||Marie curie
Marie curie'nin kaç nobel ödülü vardır|||||2
Dünya sağlık örgütünün kısa adı nedir|||||WHO
İstenmeyen, rahatsız edici, canlıların sağlığını tehdit eden seslere ne denir|||||Gürültü
Araba kornasının çıkardığı ortalama ses kaç desibeldir|||||110
Hem karanın hem denizin en yüksek ses çıkaran canlısını hangisidir?|||||Karides
Besinlere çeşitli kaynaklardan geçen ya da bilinçli bir şekilde dışarıdan eklenen kimyasal maddelerin tamamlı neye sebep olur|||||Kimyasal kirlenme
Besinlerin doğal olarak ürettiği zehirli maddelerin ve mikroorganizmaların neden olduğu besin kirliğinine ne denir?|||||Biyolojik kirlenme
Toplumların kalkınmasında önemli rol oynamış olan maden ve petrol gibi yer altı kaynakları, su, orman, çayır ve meralar, toprak ve toprak ürünleri gibi yaşam için gerekli ham maddelere ne denir?|||||Doğal kaynaklar
Dünyada bilinen bor rezervlerinin %75i nerede bulunur|||||Kütahya
Dünyada bilinen bor rezervlerinin ne kadarı kütahyada bulunur|||||75%
Madem bakımından en zengin bölgemiz neresidir|||||Doğu anadolu
Ülkemiz dünya toryum rezevlerinin ne kadarına sahiptir|||||65%
Türkiye elektrik üretiminin ne kadarını HES'ten karşılamaktadır|||||45%
Türkiye'nin elektrik ihtiyacının %45i nereden karşılanmaktadır|||||HES
Bir ökaryotik ana hücrede ikiye bölününceye kadar gerçekleşen ve birbirini izleyen olayların tümüne ne denir?|||||Hücre döngüsü
Mitoz geçirecek olan hücrenin büyüyüp bölünmeye hazırlandığı evreye ne denir?|||||İnterfaz
Sitoplazma bölünmesine ne denir?|||||Sitokinez
Mitozun hangi evresinde hücredeki çekirdekçikler kaybolur|||||Profaz
Mitozun hangi evresinde çekirdek zarı erir|||||Profaz
Mitozun hangi evresinde kromatin iplikler kısalıp kalınlaşır|||||Profaz
Mitozun hangi evresinde Kromatin iplikler kromozom çubukları halini alır|||||Profaz
Mitozun hangi evresinde sentrozomlar zıt kutuplara doğru çekilir|||||Profaz
Mitozun hangi evresinde iğ iplikleri meydana gelir|||||Profaz
Mitozun hangi evresinde kromozomlar hücrenin ekvator bölgesinde dizilir|||||Metafaz
Kromozomların en belirgin göründüğü mitoz bölünme evresi hangisidir|||||Metafaz
Mitozun hangi evresinde kardeş kromatitler birbirinden ayrılır|||||Anafaz
Genetik maddenin iki hücreye bölüştürüldüğü mitoz aşaması hangisidir|||||Anafaz
Çekirdekçiklerin tekrar oluştuğu mitoz bölünme aşaması hangidir|||||Telofaz
Mitoz temeline dayanan, ana bireyin aynı kalıtsal özelliklerine sahip yavrular meydana getirildiği üreme şekline ne denir?|||||Eşeysiz üreme
Ana bireyin vücudunda oluşan bir çıkıntının, anadan ayrılarak yeni birey meydana getirmesi olayına ne denir|||||Tomurcuklanma
Bir hücreli bir ana organizmanın ikiye bölünerek iki yavru birey meydana getirmesi olayına ne denir|||||Bölünerek üreme
Tohumsuz bitkiler ne sayesinde ürerler|||||Spor
Canlının vücudundan kopan bir parçanın, kendisini yenileyerek ayrı bir birey meydana getirmesi olayına ne denir|||||Rejenerasyon
Ana bitkinin olgun parçacıklarının mitoz sayesinde büyüyerek yeni bitkiler oluşturmasına ne denir|||||Vejetatif üreme
Mayoz sonunda oluşmuş gametlerin birleşmesiyle gerçekleşen üreme şekline ne denir|||||Eşeyli üreme
Üreme ana hücrelerinin büyüdüğü bölünmeye hazırlık evresine ne denir|||||İnterfaz
Mayozun hangi evresinde hücreler bölünme için gerekli proteinleri sentezler|||||İnterfaz
Tetrat adı verilen yapı mayozun hangi evresinde oluşur|||||Profaz I
Cross-over olayı mayozun hangi evresinde gerçekleşir|||||Profaz I
Çekirdek zarının erimesi mayozun hangi evresinde görülür|||||Profaz I
Kromozomların hücrenin ekvator düzleminde toplandığı Mayoz aşaması hangisidir|||||Metafaz I
Mayozun hangi evresinde tetrarı oluşturan kromozomlar zıt kutuplara çekilir|||||Anafaz I
Mayozun hangi evresinde kutuplara çekilmiş olan kromozomların etrafında çekirdek zarı oluşur|||||Telofaz I
Mayozun hangi aşamasında hücre iki çekirdekli hale gelir|||||Telofaz I
Farklı cinsiyete ait gametlerin döllenme ile zigot oluşturmasına ne denir|||||Eşeyli üreme
Gametlerin meydana getirilmesi olayına ne denir|||||Gametogenez
İki cinse ait üreme organlarını bulunduran canlılara ne denir|||||Hermafrodit
Erkek ve dişi organı birlikte bulunduran çiçeklere ne denir|||||Tam çiçek
Polenlerin dişi organ üzerine ulaşmasına ne denir|||||Tozlaşma
İki tek hücrelinin kalıtsal materyal değiş tokuş ederek çoğalmasına ne denir|||||Konjugasyon
Bakterilere, virüsler aracılığı ile gen aktarımı olayına ne denir|||||Transdüksiyon
Bakterilerin ortamdaki DNA'yı içlerine almasına ne denir|||||Transformasyon
Spermde mitokondri hangi kısımda bulunur|||||Boyun
Spermlerde hareketi hangi kısım sağlar|||||Kuyruk
Testislerde sperm oluşmasına ne denir|||||Spermatogenez
Dişi bireylerin yumurtalıklarında yumurta oluşmasına ne denir|||||Oogenez
Folikülün gelişmesini ve yumurtanın üretimini uyaran hormon hangisidir|||||FSH
Östrojen hormonu salgıtan hormon hangidir|||||FSH
Ovulasyonu uyaran hormon hangidir|||||LH
Korpus luteumdan progesteron salgılatan hormon hangisidir|||||LH
Korpus luteumun varlığını sürdürmesini sağlayan hormon hangisidir|||||LTH
Süt bezlerinin gelişmesini sağlayan hormon hangisidir|||||LTH
Oogenezin tamamlanması ve yumurtanın oluşumu ile döllenmemiş yumurtanın vücuttan atılışına kadar olan döngüye ne denir|||||Menstrual döngü
Testislerin tutulduğu keseye ne denir|||||Skrotum
Testislerin içinde erkeklik hormonu üreten hücrelere ne denir|||||Leydig hücreleri
Erkek üreme sisteminden salgılanan ana hormon nedir|||||Testosteron
Testislerde sperm oluşumunu uyaran hormon hangisidir|||||FSH
Spermatogenezi başlatan hormon hangisidir|||||FSH
Testosteron hormonun salgılanmasını sağlayan hormon hangidir|||||LH
Sperm çekirdeğinin yumurta çekirdeği ile birleşerek zigot oluşturmasına ne denir|||||Döllenme
Döllenme dış ortamda sağlandıktan sonra, zigotun rahime yerleştirilmesi olayına ne denir|||||Tüp bebek yöntemi
Zigot döllenme olayından 7 gün sonra hangi hale gelir|||||Blastosist
Zigot oluştuktan sonra hücrelerin geometrik şekilde artmasına ne denir|||||Segmentasyon
Segmentayon ile oluşan her hücreye ne denir|||||Blastomer
Bölünmeler esnasında hücre sayısının geometrik artışına ne denir|||||Büyüme
Büyümeyle birlikte hücrelerin özelleşip farklı nitelikler kazanmasına ne denir|||||Farklılaşma
Zigot bölündüğünde oluşan blastomerlerin oluşturduğu dut meyvesi görünümündeki hücre kümesine ne denir|||||Morula
Morula döneminden sonra gelen safha hangisidir|||||Blastula
Blastula evresinden sonra hücrelerin ortasında meydana gelen çökme ile hangi evre başlar|||||Gastrula
Gastrula sahfasında meydana gelen tabakalardan farklı organlar gelişmesine ne denir|||||Organogenez
Döllenme sonucu meydana gelen embriyo ne ile korunur|||||Embriyonik zar
Embriyoyu dıştan kuşatan ilk zara ne denir|||||Amniyon zarı
Embriyo ile amniyon zar arasında ne vardır|||||Amniyon sıvısı
Embriyoyu koruyan en dış tabakaya ne denir|||||Koriyon
Kuş ve sürüngenlerde metabolik artıkların biriktirildiği keselere ne denir|||||Allantoyis
Embriyoya besin maddelerini sağlayan keseye ne denir|||||Vitellüs kesesi
Rahimde bir ya da daha fazla embriyo taşımaya ne denir|||||Hamilelik
Blastositin rahim duvarına tutunması olayına ne denir|||||Döl tutma
Hamileliğin sekizinci haftasından doğuma kadar olan sürece ne denir|||||Fetal evre
Programlanmış hücre ölümüne ne denir|||||Apoptozis
Bölgesel enerji ve madde alışverişlerinin organizmaları nasıl etkilediğini inceleyen bilim dalı hangisidir|||||Küresel ekoloji
Bir ortamdaki canlı komüniteleri ve bu canlılarla etkileşim içerisindeki fiziksel faktörlere verilen isim nedir|||||Ekosistem
Canlılar ve çevre arasındaki enerji akışı ve kimyasal döngüyü inceleyen bilim dalı nedir|||||Ekosistem ekolojisi
Bir alandaki farklı türlerin populasyonlarının oluşturduğu gruba ne denir|||||Komünite
Komünite yapısını ve organizasyonunu etkileyen avlanma ve rekabet gibi türler arasındaki etkileşimlerin nasıl olduğunu inceleyen bilim dalı hangisidir|||||Komünite ekolojisi
ir alanda yaşayan aynı türün bireylerinin oluşturduğu bir gruba ne ad verilir|||||Popülasyon
Populasyon büyüklüğünü etkileyen faktörleri analiz eden ve populasyonun zaman içerisinde nasıl ve niçin değiştiğini inceleyen bilim dalı hangisidir|||||Popülasyon ekolojisi
Yeryüzünde canlıların yaşadığı alana ne denir|||||Biyosfer
Biyosferin diğer ismi nedir|||||Küresel ekosistem
Bir bölgedeki canlılar ve cansız maddelerin birbirleriyle etkileştiği ve oluşturdukları bir bütüne ne ad verilir|||||Ekosistem
Bir ekosistemdeki canlıların birbirleriyle ve çevreleriyle ilişkilerini inceleyen bilim dalına ne denir|||||Ekoloji
Türün yayılış alanı içerisindeki bir bölgede bulunan o türe ait bireylerin meydana getirdiği topluluğa ne denir|||||Popülasyon
Aynı bölgede yaşayan ve birbirleriyle etkileşim içerisinde olan popülasyonların oluşturduğu topluluğa ne denir|||||Komünite
Bir türün doğal biçimde yaşamını sürdürebildiği ve üreyebildiği yere ne denir|||||Habitat
Organizmaların özellikle beslenme olmak üzere ekosistemlerdeki işlevlerine ne denir|||||Ekolojik niş
Bir bölgede uzun süre hüküm süren hava koşullarına ne denir|||||İklim
Sadece bitki veya algler ile beslenen canlılara ne denir|||||Birincil tüketici
Birincil tüketicilerle beslenen canlılara ne denir|||||İkincil tüketici
Kendi besinini inorganik maddelerden sentezleyebilen organizmalara ne denir|||||Ototrof
Besinini organik madde olarak hazır alan organizmalara ne denir|||||Heterotrof
Besinlerini sentezlerken ışık enerjisini kullanan canlılara ne denir|||||Fotoototrof
Konakçı ve simbiyont canlı arasında karşılıklı yarar sağlama olan ilişkiye ne denir|||||Mutualizm
